Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,170.0500030517578,174.25,169.50999450683594,173.0800018310547,138.80596923828125,9135000
2010-01-05,173.0,176.25999450683594,172.57000732421875,176.13999938964844,141.2600555419922,11659400
2010-01-06,175.3800048828125,175.3800048828125,173.75999450683594,174.25999450683594,139.75222778320312,7381100
2010-01-07,174.32000732421875,178.75,173.9499969482422,177.6699981689453,142.487060546875,8727400
2010-01-08,176.3300018310547,177.42999267578125,173.9499969482422,174.30999755859375,139.79237365722656,7268100
2010-01-11,175.05999755859375,175.05999755859375,170.52000427246094,171.55999755859375,137.58697509765625,7704900
2010-01-12,170.00999450683594,170.47999572753906,167.02999877929688,167.82000732421875,134.58758544921875,10360100
2010-01-13,168.00999450683594,169.6699981689453,166.1199951171875,169.07000732421875,135.58998107910156,11269500
2010-01-14,168.0,170.72000122070312,167.2100067138672,168.52999877929688,135.15696716308594,10521400
2010-01-15,167.60000610351562,167.8000030517578,164.5800018310547,165.2100067138672,132.494384765625,10896300
2010-01-19,165.00999450683594,167.39999389648438,163.89999389648438,166.86000061035156,133.8176727294922,7705300
2010-01-20,165.8000030517578,168.17999267578125,164.32000732421875,167.7899932861328,134.56349182128906,8893900
2010-01-21,169.2899932861328,171.0,156.77000427246094,160.8699951171875,129.01380920410156,51738300
2010-01-22,158.69000244140625,159.75,152.25,154.1199951171875,123.6004867553711,30175600
2010-01-25,156.1300048828125,158.3000030517578,154.5,154.97999572753906,124.29021453857422,17877000
2010-01-26,154.91000366210938,156.5,150.6999969482422,150.8800048828125,121.00210571289062,15985900
2010-01-27,150.75,152.92999267578125,148.27000427246094,151.5,121.49929809570312,19899000
2010-01-28,154.22999572753906,155.1999969482422,149.9499969482422,153.2899932861328,122.93484497070312,16160700
2010-01-29,154.44000244140625,154.8800048828125,147.80999755859375,148.72000122070312,119.26988983154297,18502800
2010-02-01,149.82000732421875,155.25,149.2100067138672,153.1300048828125,122.80657196044922,12980800
2010-02-02,153.64999389648438,157.5,153.64999389648438,156.94000244140625,125.86198425292969,17246600
2010-02-03,157.9199981689453,159.94000244140625,157.11000061035156,157.22999572753906,126.0946044921875,16785200
2010-02-04,155.27000427246094,156.05999755859375,150.4499969482422,150.67999267578125,120.8416976928711,18895000
2010-02-05,150.82000732421875,154.4600067138672,148.8699951171875,154.16000366210938,123.632568359375,18759200
2010-02-08,154.27000427246094,154.60000610351562,150.82000732421875,151.10000610351562,121.1785659790039,10257300
2010-02-09,152.6999969482422,153.52999877929688,149.64999389648438,152.49000549316406,122.29326629638672,14017300
2010-02-10,152.77000427246094,155.35000610351562,151.75999450683594,153.6300048828125,123.20750427246094,10555300
2010-02-11,154.39999389648438,155.32000732421875,152.25,154.0500030517578,123.54441833496094,11163400
2010-02-12,152.3699951171875,154.5,151.13999938964844,153.92999267578125,123.44813537597656,10293200
2010-02-16,155.3000030517578,157.74000549316406,154.60000610351562,157.39999389648438,126.2309341430664,11497100
2010-02-17,158.0,158.19000244140625,155.80999755859375,157.25999450683594,126.11870574951172,10070000
2010-02-18,155.61000061035156,156.58999633789062,154.8800048828125,155.72999572753906,124.89169311523438,10991100
2010-02-19,154.50999450683594,157.0,154.49000549316406,156.17999267578125,125.25254821777344,8693000
2010-02-22,157.1999969482422,157.97000122070312,156.02999877929688,156.7100067138672,125.67759704589844,7375500
2010-02-23,156.80999755859375,160.2100067138672,155.91000366210938,156.6999969482422,125.6695785522461,15696000
2010-02-24,157.33999633789062,159.25,156.8699951171875,158.3300018310547,126.97676086425781,8361500
2010-02-25,156.22999572753906,156.44000244140625,154.32000732421875,156.44000244140625,125.46107482910156,10519900
2010-02-26,156.25999450683594,156.99000549316406,155.25999450683594,156.35000610351562,125.6700668334961,7812700
2010-03-01,156.50999450683594,158.2899932861328,156.1699981689453,156.5399932861328,125.82275390625,6522800
2010-03-02,157.17999267578125,159.75,156.91000366210938,158.75,127.59912109375,11986400
2010-03-03,159.0399932861328,159.4499969482422,157.22999572753906,157.72000122070312,126.77124786376953,10006000
2010-03-04,158.25,163.85000610351562,158.11000061035156,163.61000061035156,131.50546264648438,15439500
